시간 흐름에 따른 관심도 변화,,,,
,,,,
,flu,감기,독감,플루
2012-09-16,1,17,8,2
2012-09-23,2,22,12,2
2012-09-30,3,21,21,2
2012-10-07,1,21,29,1
2012-10-14,2,23,30,1
2012-10-21,2,19,18,2
2012-10-28,1,24,15,2
2012-11-04,3,20,8,1
2012-11-11,1,20,5,3
2012-11-18,2,22,3,2
2012-11-25,2,21,3,1
2012-12-02,3,20,2,1
2012-12-09,2,18,1,2
2012-12-16,2,16,2,2
2012-12-23,2,21,2,1
2012-12-30,2,21,5,2
2013-01-06,3,22,12,3
2013-01-13,5,28,34,5
2013-01-20,3,27,23,5
2013-01-27,2,21,8,3
2013-02-03,1,26,7,4
2013-02-10,2,20,8,4
2013-02-17,1,25,5,4
2013-02-24,2,22,5,4
2013-03-03,2,21,5,4
2013-03-10,1,19,5,4
2013-03-17,1,19,4,4
2013-03-24,1,23,1,2
2013-03-31,2,23,3,4
2013-04-07,3,17,3,5
2013-04-14,3,15,5,3
2013-04-21,2,19,2,1
2013-04-28,2,16,1,1
2013-05-05,2,13,2,2
2013-05-12,1,12,1,1
2013-05-19,1,12,1,1
2013-05-26,1,11,0,1
2013-06-02,2,12,2,1
2013-06-09,1,9,1,1
2013-06-16,1,8,1,1
2013-06-23,1,8,1,2
2013-06-30,1,9,1,1
2013-07-07,1,11,0,0
2013-07-14,1,9,0,1
2013-07-21,1,10,1,1
2013-07-28,1,14,0,1
2013-08-04,1,16,0,1
2013-08-11,2,42,1,1
2013-08-18,2,41,1,1
2013-08-25,2,33,2,0
2013-09-01,2,32,4,1
2013-09-08,1,27,4,1
2013-09-15,1,36,4,1
2013-09-22,1,33,11,1
2013-09-29,4,100,16,2
2013-10-06,3,66,19,0
2013-10-13,2,45,21,1
2013-10-20,3,39,16,1
2013-10-27,2,31,15,1
2013-11-03,2,28,6,1
2013-11-10,3,26,5,1
2013-11-17,2,27,4,2
2013-11-24,2,25,3,1
2013-12-01,2,25,3,1
2013-12-08,2,24,3,2
2013-12-15,2,20,2,1
2013-12-22,2,21,1,1
2013-12-29,2,27,5,1
2014-01-05,1,25,5,3
2014-01-12,4,29,6,3
2014-01-19,5,28,15,6
2014-01-26,6,35,24,27
2014-02-02,5,36,30,34
2014-02-09,5,34,30,36
2014-02-16,4,34,28,30
2014-02-23,3,22,14,19
2014-03-02,2,22,9,13
2014-03-09,3,19,11,12
2014-03-16,2,17,9,11
2014-03-23,1,21,7,5
2014-03-30,2,18,4,5
2014-04-06,1,18,2,3
2014-04-13,2,17,1,2
2014-04-20,2,13,1,2
2014-04-27,2,16,2,2
2014-05-04,1,15,1,2
2014-05-11,2,15,1,1
2014-05-18,2,12,2,2
2014-05-25,1,10,1,2
2014-06-01,1,11,1,1
2014-06-08,1,10,1,1
2014-06-15,1,8,0,1
2014-06-22,1,10,2,1
2014-06-29,0,11,1,1
2014-07-06,1,10,1,0
2014-07-13,1,9,1,1
2014-07-20,1,7,0,1
2014-07-27,2,10,1,1
2014-08-03,1,11,1,1
2014-08-10,1,11,0,1
2014-08-17,1,10,1,1
2014-08-24,2,10,2,0
2014-08-31,2,10,2,1
2014-09-07,2,27,4,1
2014-09-14,2,13,7,1
2014-09-21,2,13,9,2
2014-09-28,1,15,11,1
2014-10-05,2,17,23,1
2014-10-12,2,23,22,0
2014-10-19,3,22,14,1
2014-10-26,2,22,9,1
2014-11-02,1,22,6,1
2014-11-09,2,21,5,1
2014-11-16,2,22,3,1
2014-11-23,2,23,3,1
2014-11-30,1,22,3,1
2014-12-07,2,22,2,0
2014-12-14,2,16,2,1
2014-12-21,1,19,2,1
2014-12-28,2,19,3,1
2015-01-04,2,21,4,1
2015-01-11,2,19,3,2
2015-01-18,2,18,6,3
2015-01-25,1,17,6,3
2015-02-01,2,20,9,5
2015-02-08,1,21,16,8
2015-02-15,3,24,14,15
2015-02-22,3,20,9,8
2015-03-01,2,22,9,7
2015-03-08,2,19,7,7
2015-03-15,2,18,9,10
2015-03-22,2,19,10,11
2015-03-29,2,18,10,10
2015-04-05,1,19,7,5
2015-04-12,1,13,3,4
2015-04-19,1,15,3,4
2015-04-26,1,15,3,2
2015-05-03,1,11,1,1
2015-05-10,1,14,1,1
2015-05-17,2,11,1,1
2015-05-24,2,13,1,3
2015-05-31,6,75,7,17
2015-06-07,3,37,7,7
2015-06-14,3,24,5,7
2015-06-21,3,14,2,3
2015-06-28,2,8,1,2
2015-07-05,2,10,3,2
2015-07-12,2,10,2,1
2015-07-19,1,8,2,1
2015-07-26,2,9,1,0
2015-08-02,1,4,1,1
2015-08-09,1,8,1,1
2015-08-16,1,8,1,0
2015-08-23,2,9,1,1
2015-08-30,1,8,2,1
2015-09-06,2,12,6,1
2015-09-13,2,15,5,1
2015-09-20,2,11,7,1
2015-09-27,2,13,12,1
2015-10-04,2,14,18,1
2015-10-11,2,16,19,1
2015-10-18,2,14,11,1
2015-10-25,1,19,10,1
2015-11-01,2,17,7,1
2015-11-08,1,16,4,1
2015-11-15,2,16,3,1
2015-11-22,1,19,3,1
2015-11-29,1,18,1,1
2015-12-06,2,15,2,0
2015-12-13,2,18,2,1
2015-12-20,2,17,1,1
2015-12-27,2,17,2,1
2016-01-03,1,9,1,0
2016-01-10,1,11,2,0
