시간 흐름에 따른 관심도 변화,,,,
,,,,
,flu,감기,독감,플루
2012-09-16,3,17,10,3
2012-09-23,2,22,11,3
2012-09-30,2,26,21,2
2012-10-07,2,19,25,2
2012-10-14,1,25,29,1
2012-10-21,2,24,23,2
2012-10-28,1,26,16,2
2012-11-04,2,16,6,1
2012-11-11,1,23,6,2
2012-11-18,3,21,3,1
2012-11-25,3,21,3,1
2012-12-02,2,24,2,2
2012-12-09,1,17,2,1
2012-12-16,2,18,2,1
2012-12-23,3,22,1,1
2012-12-30,2,22,5,3
2013-01-06,4,25,15,4
2013-01-13,8,23,34,4
2013-01-20,3,28,25,3
2013-01-27,2,24,11,3
2013-02-03,1,21,8,4
2013-02-10,2,24,6,5
2013-02-17,1,26,6,3
2013-02-24,2,22,4,3
2013-03-03,4,23,4,5
2013-03-10,2,17,3,2
2013-03-17,2,21,3,3
2013-03-24,3,25,2,3
2013-03-31,2,21,2,5
2013-04-07,2,17,2,3
2013-04-14,4,13,4,2
2013-04-21,3,18,3,3
2013-04-28,2,15,3,1
2013-05-05,2,14,2,2
2013-05-12,2,14,1,1
2013-05-19,2,14,1,2
2013-05-26,1,12,2,1
2013-06-02,2,12,2,2
2013-06-09,1,10,1,1
2013-06-16,2,9,2,1
2013-06-23,2,8,1,1
2013-06-30,1,9,1,2
2013-07-07,1,11,1,1
2013-07-14,2,9,1,2
2013-07-21,1,11,2,1
2013-07-28,2,15,2,1
2013-08-04,2,16,2,1
2013-08-11,2,42,2,1
2013-08-18,2,46,1,2
2013-08-25,2,33,1,1
2013-09-01,3,28,4,1
2013-09-08,1,25,4,1
2013-09-15,1,35,6,1
2013-09-22,2,34,9,1
2013-09-29,2,87,18,1
2013-10-06,2,58,18,1
2013-10-13,3,37,25,2
2013-10-20,3,43,15,1
2013-10-27,2,35,11,1
2013-11-03,4,28,9,1
2013-11-10,3,24,6,2
2013-11-17,1,23,5,1
2013-11-24,3,25,3,1
2013-12-01,7,24,4,0
2013-12-08,7,24,6,4
2013-12-15,4,18,4,0
2013-12-22,7,18,0,4
2013-12-29,0,22,8,3
2014-01-05,4,18,4,4
2014-01-12,5,17,10,4
2014-01-19,6,30,10,8
2014-01-26,8,29,24,25
2014-02-02,8,25,26,21
2014-02-09,12,29,24,26
2014-02-16,10,36,15,15
2014-02-23,7,21,12,19
2014-03-02,5,17,12,13
2014-03-09,0,12,8,10
2014-03-16,5,16,11,5
2014-03-23,0,12,5,5
2014-03-30,0,9,5,5
2014-04-06,4,6,9,4
2014-04-13,8,19,4,4
2014-04-20,6,11,0,0
2014-04-27,0,14,6,4
2014-05-04,0,15,4,4
2014-05-11,4,13,0,0
2014-05-18,0,16,5,0
2014-05-25,0,10,5,5
2014-06-01,5,7,0,0
2014-06-08,0,13,5,0
2014-06-15,5,7,0,0
2014-06-22,6,6,5,0
2014-06-29,5,19,0,8
2014-07-06,0,13,4,0
2014-07-13,6,12,3,0
2014-07-20,0,10,0,3
2014-07-27,3,15,0,0
2014-08-03,6,15,0,0
2014-08-10,5,10,0,3
2014-08-17,6,6,0,0
2014-08-24,5,10,3,3
2014-08-31,3,8,6,0
2014-09-07,3,38,3,0
2014-09-14,5,17,5,3
2014-09-21,5,9,5,3
2014-09-28,3,21,16,3
2014-10-05,3,10,17,6
2014-10-12,3,15,16,0
2014-10-19,6,13,7,3
2014-10-26,5,20,9,3
2014-11-02,0,17,6,0
2014-11-09,3,15,5,3
2014-11-16,3,15,4,0
2014-11-23,3,26,0,0
2014-11-30,4,14,4,3
2014-12-07,0,14,4,0
2014-12-14,4,12,0,0
2014-12-21,3,16,6,0
2014-12-28,5,11,3,3
2015-01-04,3,14,3,3
2015-01-11,3,15,5,3
2015-01-18,5,22,4,3
2015-01-25,5,15,4,4
2015-02-01,4,16,7,3
2015-02-08,5,22,16,4
2015-02-15,3,18,12,6
2015-02-22,4,8,11,8
2015-03-01,3,9,7,6
2015-03-08,6,12,6,8
2015-03-15,6,26,10,6
2015-03-22,3,20,9,10
2015-03-29,4,16,13,15
2015-04-05,3,11,6,6
2015-04-12,0,11,3,3
2015-04-19,3,11,3,5
2015-04-26,3,8,3,3
2015-05-03,3,7,3,3
2015-05-10,3,11,3,3
2015-05-17,3,10,0,3
2015-05-24,3,13,0,3
2015-05-31,8,100,4,14
2015-06-07,6,47,6,6
2015-06-14,3,18,2,8
2015-06-21,4,14,3,0
2015-06-28,0,9,0,3
