시간 흐름에 따른 관심도 변화,,,,
,,,,
,flu,감기,독감,플루
2012-09-16,0,19,0,0
2012-09-23,0,39,0,0
2012-09-30,0,36,36,0
2012-10-07,0,0,18,0
2012-10-14,0,15,15,0
2012-10-21,0,29,15,15
2012-10-28,0,0,0,0
2012-11-04,0,13,13,0
2012-11-11,0,18,0,0
2012-11-18,0,12,0,0
2012-11-25,0,11,0,0
2012-12-02,0,11,0,0
2012-12-09,11,22,0,0
2012-12-16,0,31,0,0
2012-12-23,0,25,10,10
2012-12-30,0,10,0,0
2013-01-06,0,0,0,11
2013-01-13,0,30,25,0
2013-01-20,0,25,20,0
2013-01-27,0,26,10,0
2013-02-03,0,11,0,11
2013-02-10,0,24,9,0
2013-02-17,8,13,17,0
2013-02-24,0,9,0,0
2013-03-03,12,17,0,0
2013-03-10,0,19,25,0
2013-03-17,0,13,0,0
2013-03-24,0,13,0,13
2013-03-31,0,19,0,0
2013-04-07,0,0,13,0
2013-04-14,0,25,25,25
2013-04-21,0,12,0,0
2013-04-28,0,13,0,0
2013-05-05,0,0,0,0
2013-05-12,0,13,0,0
2013-05-19,0,18,0,0
2013-05-26,0,12,0,0
2013-06-02,0,25,0,0
2013-06-09,0,12,0,0
2013-06-16,0,0,0,0
2013-06-23,0,0,0,0
2013-06-30,0,22,0,0
2013-07-07,0,11,0,0
2013-07-14,0,0,0,0
2013-07-21,0,10,0,0
2013-07-28,10,10,0,0
2013-08-04,0,10,0,0
2013-08-11,0,30,0,0
2013-08-18,0,36,21,0
2013-08-25,0,32,0,0
2013-09-01,0,11,21,0
2013-09-08,0,20,10,0
2013-09-15,0,27,0,0
2013-09-22,0,34,10,0
2013-09-29,0,100,19,0
2013-10-06,0,47,14,0
2013-10-13,0,35,35,0
2013-10-20,0,10,25,0
2013-10-27,0,15,20,0
2013-11-03,0,29,10,0
2013-11-10,0,14,9,0
2013-11-17,0,25,0,0
2013-11-24,0,20,20,0
2013-12-01,0,10,0,0
2013-12-08,0,0,0,0
2013-12-15,10,10,0,10
2013-12-22,0,14,0,0
2013-12-29,0,23,0,0
2014-01-05,0,14,0,19
2014-01-12,0,29,0,0
2014-01-19,9,33,28,9
2014-01-26,10,20,10,0
2014-02-02,0,29,15,24
2014-02-09,0,24,43,10
2014-02-16,0,14,19,24
2014-02-23,0,14,18,28
2014-03-02,11,44,11,0
2014-03-09,0,16,0,11
2014-03-16,0,0,11,11
2014-03-23,0,16,10,0
2014-03-30,0,21,0,0
2014-04-06,0,10,0,0
2014-04-13,0,10,10,0
2014-04-20,0,0,0,0
2014-04-27,0,10,10,0
2014-05-04,0,15,0,0
2014-05-11,0,0,0,0
2014-05-18,0,11,0,0
2014-05-25,11,0,0,0
2014-06-01,11,22,0,0
2014-06-08,0,11,0,0
2014-06-15,0,12,0,0
2014-06-22,0,12,0,0
2014-06-29,0,0,0,0
2014-07-06,0,0,0,0
2014-07-13,0,10,0,0
2014-07-20,0,9,0,0
2014-07-27,0,28,0,0
2014-08-03,10,0,0,10
2014-08-10,0,0,0,0
2014-08-17,0,18,0,9
2014-08-24,0,9,0,0
2014-08-31,0,0,0,0
2014-09-07,0,25,0,10
2014-09-14,0,10,0,0
2014-09-21,0,14,9,0
2014-09-28,0,10,29,0
2014-10-05,0,0,24,0
2014-10-12,9,9,28,0
2014-10-19,0,18,0,0
2014-10-26,0,18,9,0
2014-11-02,0,14,0,0
2014-11-09,0,9,0,0
2014-11-16,0,18,0,0
2014-11-23,9,18,18,0
2014-11-30,0,27,0,0
2014-12-07,0,26,0,0
2014-12-14,0,22,0,0
2014-12-21,0,18,0,0
2014-12-28,0,17,0,0
2015-01-04,0,8,0,0
2015-01-11,16,20,0,0
2015-01-18,0,8,12,8
2015-01-25,0,12,8,8
2015-02-01,8,8,16,8
2015-02-08,0,8,33,8
2015-02-15,0,9,9,9
2015-02-22,0,31,15,0
2015-03-01,0,9,0,9
2015-03-08,0,17,0,9
2015-03-15,0,9,0,0
2015-03-22,0,9,14,9
2015-03-29,8,26,9,9
2015-04-05,0,13,8,8
2015-04-12,0,21,0,0
2015-04-19,0,21,0,17
2015-04-26,0,36,0,0
2015-05-03,0,12,0,8
2015-05-10,0,16,0,8
2015-05-17,0,0,0,0
2015-05-24,0,8,8,0
2015-05-31,0,39,0,8
2015-06-07,0,35,0,8
2015-06-14,8,24,0,8
2015-06-21,0,9,0,9
2015-06-28,0,0,0,10
2015-07-05,0,19,0,0
2015-07-12,0,9,0,0
2015-07-19,0,27,0,0
2015-07-26,0,0,0,0
2015-08-02,0,9,0,0
2015-08-09,0,9,0,0
2015-08-16,0,0,9,0
2015-08-23,0,9,0,0
2015-08-30,9,10,0,0
2015-09-06,0,10,10,0
2015-09-13,0,10,0,0
2015-09-20,0,14,10,0
2015-09-27,0,14,0,0
2015-10-04,0,9,18,0
2015-10-11,0,17,17,0
2015-10-18,0,8,8,0
2015-10-25,8,16,8,0
2015-11-01,7,35,7,0
2015-11-08,0,6,0,0
2015-11-15,0,6,13,0
2015-11-22,0,20,0,0
2015-11-29,7,13,0,0
2015-12-06,0,0,7,0
2015-12-13,14,14,7,0
2015-12-20,0,14,0,7
2015-12-27,0,6,0,0
2016-01-03,0,11,0,0
2016-01-10,0,6,0,0
2016-01-17,0,7,0,4
2016-01-24,4,9,4,0
2016-01-31,5,0,5,0
2016-02-07,0,9,4,0
2016-02-14,0,13,9,4
2016-02-21,4,9,9,4
