시간 흐름에 따른 관심도 변화,,,,
,,,,
,flu,감기,독감,플루
2012-09-16,0,0,52,0
2012-09-23,0,56,56,0
2012-09-30,0,53,26,0
2012-10-07,0,39,39,0
2012-10-14,0,0,0,0
2012-10-21,0,36,0,0
2012-10-28,0,0,0,0
2012-11-04,0,0,0,0
2012-11-11,0,60,0,0
2012-11-18,31,31,0,0
2012-11-25,0,31,0,0
2012-12-02,0,32,0,0
2012-12-09,0,0,0,0
2012-12-16,0,0,0,0
2012-12-23,0,24,0,0
2012-12-30,0,24,0,0
2013-01-06,0,0,26,0
2013-01-13,0,24,0,0
2013-01-20,0,22,17,17
2013-01-27,0,32,0,0
2013-02-03,0,0,0,0
2013-02-10,0,18,18,18
2013-02-17,0,21,0,0
2013-02-24,0,42,0,0
2013-03-03,0,33,0,0
2013-03-10,0,0,0,0
2013-03-17,0,51,0,0
2013-03-24,0,27,0,26
2013-03-31,0,0,26,0
2013-04-07,0,0,26,0
2013-04-14,0,0,0,0
2013-04-21,0,25,0,0
2013-04-28,0,25,0,0
2013-05-05,0,30,29,0
2013-05-12,0,0,0,0
2013-05-19,0,43,29,0
2013-05-26,0,26,0,0
2013-06-02,0,51,0,0
2013-06-09,0,52,0,0
2013-06-16,0,24,0,0
2013-06-23,0,0,0,0
2013-06-30,0,45,0,0
2013-07-07,0,36,0,0
2013-07-14,0,23,0,0
2013-07-21,0,22,0,0
2013-07-28,0,44,0,0
2013-08-04,0,0,0,0
2013-08-11,0,22,0,0
2013-08-18,0,43,21,0
2013-08-25,0,22,0,0
2013-09-01,0,22,0,0
2013-09-08,0,33,0,0
2013-09-15,0,22,0,0
2013-09-22,0,42,0,0
2013-09-29,0,100,0,0
2013-10-06,0,88,26,0
2013-10-13,0,54,65,0
2013-10-20,21,55,21,0
2013-10-27,0,34,0,0
2013-11-03,0,38,0,0
2013-11-10,18,45,0,0
2013-11-17,0,20,0,0
2013-11-24,0,20,0,0
2013-12-01,0,0,0,0
2013-12-08,0,45,0,0
2013-12-15,0,39,0,0
2013-12-22,0,23,0,23
2013-12-29,0,44,0,0
2014-01-05,0,50,0,0
2014-01-12,0,30,30,0
2014-01-19,0,29,29,0
2014-01-26,0,31,0,0
2014-02-02,0,30,0,0
2014-02-09,0,30,0,29
2014-02-16,0,30,0,0
2014-02-23,0,45,29,0
2014-03-02,0,35,36,35
2014-03-09,0,0,0,0
2014-03-16,0,0,0,0
2014-03-23,32,63,32,0
2014-03-30,0,31,0,0
2014-04-06,0,31,0,0
2014-04-13,0,59,0,30
2014-04-20,0,0,0,0
2014-04-27,0,29,0,0
2014-05-04,0,30,0,0
2014-05-11,0,0,0,0
2014-05-18,0,34,0,0
2014-05-25,0,35,0,0
2014-06-01,0,32,0,0
2014-06-08,0,37,0,0
2014-06-15,0,0,0,0
2014-06-22,0,0,0,0
2014-06-29,0,35,0,0
2014-07-06,0,31,0,0
2014-07-13,0,25,0,0
2014-07-20,0,0,0,0
2014-07-27,0,24,0,0
2014-08-03,0,0,0,0
2014-08-10,0,0,0,0
2014-08-17,0,0,0,0
2014-08-24,0,0,0,0
2014-08-31,0,0,0,0
2014-09-07,0,25,0,0
2014-09-14,0,0,23,0
2014-09-21,0,24,0,0
2014-09-28,0,24,0,0
2014-10-05,0,24,0,0
2014-10-12,0,24,24,0
2014-10-19,0,46,23,0
2014-10-26,0,23,23,0
2014-11-02,0,0,0,0
2014-11-09,0,23,0,0
2014-11-16,0,22,0,0
2014-11-23,0,33,0,0
2014-11-30,0,33,0,0
2014-12-07,0,0,0,0
2014-12-14,22,21,0,0
2014-12-21,0,33,0,0
2014-12-28,0,0,22,0
2015-01-04,20,20,0,0
2015-01-11,0,20,20,0
2015-01-18,0,40,0,0
2015-01-25,0,19,0,0
2015-02-01,0,20,20,20
2015-02-08,0,0,20,20
2015-02-15,0,0,0,21
2015-02-22,0,0,0,20
2015-03-01,0,22,22,22
2015-03-08,0,21,0,21
2015-03-15,0,0,0,0
2015-03-22,0,22,0,0
2015-03-29,0,0,20,21
2015-04-05,0,40,21,0
2015-04-12,0,20,0,21
2015-04-19,0,0,0,0
2015-04-26,0,21,0,20
2015-05-03,0,31,0,20
2015-05-10,0,0,0,0
2015-05-17,0,0,0,0
2015-05-24,0,19,0,0
2015-05-31,19,57,0,19
2015-06-07,0,38,19,0
2015-06-14,0,19,0,0
2015-06-21,0,41,0,0
2015-06-28,0,22,0,0
2015-07-05,0,21,21,0
2015-07-12,0,21,0,0
2015-07-19,0,61,0,0
2015-07-26,0,0,0,0
2015-08-02,0,0,0,0
2015-08-09,0,0,0,0
2015-08-16,0,0,0,0
2015-08-23,0,0,0,0
2015-08-30,0,21,0,0
2015-09-06,0,22,0,0
2015-09-13,0,45,22,0
2015-09-20,0,22,0,0
2015-09-27,0,51,21,41
2015-10-04,0,0,21,0
2015-10-11,0,0,43,0
2015-10-18,0,21,0,0
2015-10-25,0,22,0,0
2015-11-01,0,33,16,0
2015-11-08,15,0,15,0
2015-11-15,0,0,0,0
2015-11-22,0,15,15,0
2015-11-29,0,15,0,0
2015-12-06,0,30,15,0
2015-12-13,0,16,0,0
2015-12-20,0,16,0,0
2015-12-27,0,14,0,0
2016-01-03,0,0,0,0
2016-01-10,0,17,11,0
2016-01-17,0,16,0,0
2016-01-24,11,11,0,0
2016-01-31,11,11,0,0
2016-02-07,0,11,21,11
2016-02-14,11,16,0,0
2016-02-21,0,22,11,11
2016-02-28,0,0,11,0
2016-03-06,12,12,12,0
2016-03-13,0,17,12,0
2016-03-20,0,12,0,0
2016-03-27,0,12,0,0
2016-04-03,0,34,11,0
2016-04-10,0,11,11,0
2016-04-17,0,11,0,0
2016-04-24,0,12,0,0
2016-05-01,11,11,11,0
2016-05-08,12,0,0,0
2016-05-15,0,12,0,0
2016-05-22,11,0,0,0
2016-05-29,0,0,0,0
2016-06-05,0,11,0,0
2016-06-12,0,0,0,0
2016-06-19,0,11,0,0
2016-06-26,0,0,0,0
2016-07-03,0,0,0,0
2016-07-10,0,11,11,11
2016-07-17,0,22,0,0
2016-07-24,0,11,0,0
2016-07-31,0,11,0,0
2016-08-07,0,22,0,0
2016-08-14,0,12,0,0
2016-08-21,0,0,0,0
2016-08-28,0,0,0,0
2016-09-04,0,0,0,0
2016-09-11,0,0,11,0
2016-09-18,0,11,0,0
2016-09-25,0,11,22,0
2016-10-02,0,11,0,0
2016-10-09,0,23,12,0
2016-10-16,0,11,11,0
2016-10-23,0,17,12,0
2016-10-30,0,12,12,0
2016-11-06,0,0,0,0
2016-11-13,0,11,0,0
2016-11-20,0,11,0,0
2016-11-27,0,0,0,0
2016-12-04,0,0,10,0
2016-12-11,10,0,25,0
2016-12-18,10,16,21,0
2016-12-25,0,31,31,10
2017-01-01,0,13,20,0
2017-01-08,10,10,16,0
2017-01-15,0,9,0,0
2017-01-22,0,19,9,9
2017-01-29,0,9,17,0
2017-02-05,0,9,36,0
2017-02-12,0,15,0,0
2017-02-19,0,9,0,0
2017-02-26,0,24,0,0
2017-03-05,0,20,10,0
2017-03-12,0,19,0,0
2017-03-19,9,12,19,0
2017-03-26,0,28,10,9
2017-04-02,0,19,0,9
2017-04-09,0,9,10,0
2017-04-16,0,9,0,0
2017-04-23,0,0,9,10
2017-04-30,0,9,0,0
2017-05-07,0,9,0,0
2017-05-14,0,10,10,0
2017-05-21,0,26,0,0
2017-05-28,0,15,10,0
2017-06-04,0,10,0,0
2017-06-11,0,10,0,0
2017-06-18,0,0,0,0
2017-06-25,0,10,0,0
2017-07-02,0,29,0,0
2017-07-09,0,10,0,0
2017-07-16,0,12,9,0
2017-07-23,0,9,0,0
2017-07-30,0,9,0,0
2017-08-06,0,9,0,0
2017-08-13,0,9,0,0
2017-08-20,0,14,0,0
2017-08-27,9,0,0,0
2017-09-03,0,19,9,0
2017-09-10,0,0,33,0
