시간 흐름에 따른 관심도 변화,,,,
,,,,
,flu,감기,독감,플루
2012-09-16,0,0,0,0
2012-09-23,0,0,34,0
2012-09-30,0,33,0,0
2012-10-07,0,95,33,33
2012-10-14,0,0,33,33
2012-10-21,0,0,0,0
2012-10-28,0,0,0,0
2012-11-04,0,24,0,0
2012-11-11,0,21,0,0
2012-11-18,0,21,0,0
2012-11-25,0,0,20,0
2012-12-02,19,38,0,0
2012-12-09,0,0,0,21
2012-12-16,0,20,0,0
2012-12-23,0,40,0,0
2012-12-30,0,19,19,0
2013-01-06,0,0,34,0
2013-01-13,0,17,34,17
2013-01-20,0,27,36,0
2013-01-27,0,13,26,0
2013-02-03,0,16,0,16
2013-02-10,0,36,18,0
2013-02-17,0,16,0,0
2013-02-24,15,30,15,0
2013-03-03,20,0,0,20
2013-03-10,0,23,23,0
2013-03-17,0,22,0,0
2013-03-24,0,0,0,0
2013-03-31,0,0,44,0
2013-04-07,0,21,0,0
2013-04-14,0,0,0,0
2013-04-21,0,0,0,0
2013-04-28,0,0,0,0
2013-05-05,0,0,0,24
2013-05-12,0,0,0,0
2013-05-19,0,21,0,0
2013-05-26,0,0,0,20
2013-06-02,0,0,0,0
2013-06-09,0,0,0,0
2013-06-16,0,0,0,0
2013-06-23,0,0,0,0
2013-06-30,0,20,0,0
2013-07-07,0,0,0,0
2013-07-14,0,0,0,0
2013-07-21,0,0,0,0
2013-07-28,0,20,0,0
2013-08-04,0,39,0,0
2013-08-11,0,19,0,0
2013-08-18,0,68,0,0
2013-08-25,0,40,0,0
2013-09-01,0,100,0,0
2013-09-08,0,48,0,0
2013-09-15,0,59,0,20
2013-09-22,0,18,18,0
2013-09-29,0,97,17,0
2013-10-06,0,78,0,0
2013-10-13,0,56,0,0
2013-10-20,0,18,18,0
2013-10-27,0,53,18,0
2013-11-03,0,35,0,0
2013-11-10,16,40,0,0
2013-11-17,0,26,0,0
2013-11-24,0,33,0,0
2013-12-01,0,41,0,0
2013-12-08,0,24,0,0
2013-12-15,0,59,0,0
2013-12-22,0,18,0,0
2013-12-29,0,23,0,0
2014-01-05,0,21,14,0
2014-01-12,0,27,18,0
2014-01-19,0,18,18,0
2014-01-26,0,29,0,58
2014-02-02,0,54,18,36
2014-02-09,0,27,18,54
2014-02-16,0,0,0,18
